item_id,translator,precomposed_n,seg_mismatch,n_seg_src,n_seg_hyp,len_ratio,consensus_chrf,bengali_frac,assamese_n,devanagari_n,double_virama_n,other_script_n,other_script_chars,bn_option_labels_n,latin_word_n,latin_words,gloss_n,num_src,num_missing,num_hard_n,num_soft_n,num_missing_list,num_recall,dup_option_n,roundtrip_chrf,len_z,cometkiwi_mean,cometkiwi_min,metricx_mean,metricx_min,metricx_err_mean,metricx_err_max,labse_mean,labse_min,n_seg_scored,option_swap_n,option_swaps,decision,decision_reason
US-00127,gpt-oss:120b,0,0,9,9,0.95837023914969,,0.9818181818181818,0,0,0,0,,0,0,,0,5,0,0,0,,1.0,0,83.91899948625012,0.3462279478134691,0.8235200577312045,0.6595178842544556,-1.001144574748145,-3.2947640419006348,1.001144574748145,3.2947640419006348,0.844911515712738,0.66828852891922,9,0,,PASS,
US-00128,gpt-oss:120b,0,0,6,6,0.929316338354577,,0.9341772151898734,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,64.55981371429002,-0.2538913379112968,0.8051789104938507,0.7141257524490356,-1.3262248560786247,-3.8406381607055664,1.3262248560786247,3.8406381607055664,0.8926831285158793,0.8420283794403076,6,0,,PASS,
US-00129,gpt-oss:120b,0,0,10,10,0.99848828420257,,0.9489795918367347,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,73.52899307481067,1.1748813087369696,0.8009502828121186,0.7404651641845703,-2.455960446596145,-5.892704963684082,2.455960446596145,5.892704963684082,0.7729714095592499,0.5377129316329956,10,0,,PASS,
US-00130,gpt-oss:120b,0,0,8,8,0.9507829977628636,,0.964516129032258,0,0,0,0,,0,0,,0,14,3,1,2,253 5 9,0.7857142857142857,0,68.71820528339697,0.189510613580348,0.8099258989095688,0.7018295526504517,-1.5959540121257303,-6.140846252441406,1.5959540121257303,6.140846252441406,0.7365671396255493,0.625019907951355,8,0,,FLAG,hard:num_hard_n
US-00131,gpt-oss:120b,0,0,8,8,0.9693593314763232,,0.9728682170542636,0,0,0,0,,0,0,,0,11,0,0,0,,1.0,0,72.28061108076437,0.5732117970503974,0.8075161054730415,0.6473256349563599,-2.8657432794570923,-7.545168399810791,2.8657432794570923,7.545168399810791,0.7144722379744053,0.2674102783203125,8,0,,PASS,
US-00132,gpt-oss:120b,0,0,6,6,0.902116402116402,,0.9625779625779626,0,0,0,0,,0,0,,0,16,0,0,0,,1.0,0,74.72745485611611,-0.8157162860352474,0.7883503238360087,0.6177414655685425,-2.2060967485109964,-4.924935340881348,2.2060967485109964,4.924935340881348,0.6749889155228933,0.4085068702697754,6,0,,PASS,
US-00133,gpt-oss:120b,0,0,9,9,0.2101827676240208,,0.9130434782608696,0,0,0,0,,0,0,,0,22,22,11,11,1.1 11 110 133 140 160000 22 250 3 3.3 37.3 4 4100 5 54 6 7 76 8.9 86 98 99.1,0.0,0,20.842444919513618,-15.107866638884104,0.7822040783034431,0.597400426864624,-3.037988762060801,-16.110946655273438,3.037988762060801,16.110946655273438,0.7062690365645621,0.1183331385254859,9,0,,FLAG,hard:num_hard_n;hard:len_z
US-00134,gpt-oss:120b,0,0,6,6,0.8616187989556136,,0.958071278825996,0,0,0,0,,0,0,,0,18,0,0,0,,1.0,0,66.77096510400501,-1.6522095629209943,0.8769481281439463,0.8470724821090698,-1.7273304959138234,-6.064761161804199,1.7273304959138234,6.064761161804199,0.8652913669745127,0.8293039798736572,6,0,,PASS,
US-00135,gpt-oss:120b,0,0,8,8,0.9590316573556796,,0.9666666666666668,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,75.44400066592029,0.3598897904742208,0.8527168110013008,0.7630225419998169,-1.7189172431826591,-6.8608503341674805,1.7189172431826591,6.8608503341674805,0.8126122280955315,0.7262821197509766,8,0,,PASS,
US-00136,gpt-oss:120b,0,0,8,8,0.943076923076923,,0.9785123966942147,0,0,0,0,,0,0,,0,10,0,0,0,,1.0,0,81.17901025430972,0.0303387327069124,0.7806169465184212,0.7072446346282959,-1.710291676223278,-4.3793134689331055,1.710291676223278,4.3793134689331055,0.746954470872879,0.6358908414840698,8,0,,PASS,
US-00137,gpt-oss:120b,0,0,7,7,1.0544554455445545,,0.971291866028708,0,0,0,0,,0,0,,0,3,0,0,0,,1.0,0,77.34338913130053,2.330904147991795,0.8114444613456726,0.6235641241073608,-1.609390607901982,-2.995678186416626,1.609390607901982,2.995678186416626,0.6504048109054565,0.5311260223388672,7,0,,PASS,
US-00138,gpt-oss:120b,0,0,6,6,0.9285714285714286,,0.9523809523809524,0,0,0,0,,0,0,,2,11,0,0,0,,1.0,0,72.4065256923165,-0.2692777306075792,0.7937354246775309,0.6815413236618042,-2.0690703988075256,-6.12010383605957,2.0690703988075256,6.12010383605957,0.7563253144423167,0.584431529045105,6,0,,PASS,
US-00139,gpt-oss:120b,0,0,8,8,0.8919540229885058,,0.9816272965879264,0,0,0,0,,0,0,,0,2,0,0,0,,1.0,0,60.2525573464288,-1.0256240621547017,0.8273406699299812,0.7548143267631531,-1.3735495954751968,-5.415375709533691,1.3735495954751968,5.415375709533691,0.7366312518715858,0.6425645351409912,8,1,G->C,FLAG,hard:option_swap_n
US-00140,gpt-oss:120b,0,0,8,8,0.9726027397260274,,0.9380692167577414,0,0,0,0,,0,1,ESR,0,17,0,0,0,,1.0,0,75.05447672338445,0.6402056184946331,0.823566161096096,0.7508853673934937,-1.4548166207969189,-4.0025715827941895,1.4548166207969189,4.0025715827941895,0.7801178321242332,0.6479897499084473,8,0,,FLAG,hard:latin_word_n
US-00141,gpt-oss:120b,0,0,7,7,1.0527448869752425,,0.9878296146044624,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,71.69349846988365,2.295571915186116,0.8464253970554897,0.7193793654441833,-0.7768722703414304,-2.082815170288086,0.7768722703414304,2.082815170288086,0.7705985392842974,0.5754741430282593,7,0,,PASS,
US-00142,gpt-oss:120b,0,0,7,7,1.0199501246882794,,0.9718670076726342,0,0,0,0,,0,0,,0,6,0,0,0,,1.0,0,74.19525527790796,1.6181837235641467,0.8540438669068473,0.7929469347000122,-0.9483495354652404,-1.7949131727218628,0.9483495354652404,1.7949131727218628,0.7919327020645142,0.6895589828491211,7,0,,PASS,
US-00143,gpt-oss:120b,0,0,6,6,0.990950226244344,,0.9798534798534798,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,74.22342564544088,1.0191798767831777,0.8584325015544891,0.8363667726516724,-1.2319744701186817,-5.436941146850586,1.2319744701186817,5.436941146850586,0.8167718450228373,0.7021878957748413,6,0,,PASS,
US-00144,gpt-oss:120b,0,0,7,7,0.9843971631205674,,0.9644970414201184,0,0,0,0,,0,0,,0,7,0,0,0,,1.0,0,74.66436847683713,0.8838238848672285,0.8184287122317723,0.7371155023574829,-0.7870047608656543,-1.7087727785110474,0.7870047608656543,1.7087727785110474,0.7844022597585406,0.4698480367660522,7,0,,PASS,
US-00145,gpt-oss:120b,0,0,8,8,0.93001443001443,,0.9429477020602218,0,0,0,0,,0,2,myocardial infarction,0,17,0,0,0,,1.0,0,79.80759968586804,-0.2394719912206173,0.8203085139393806,0.6755244731903076,-1.2726894840598106,-6.348016738891602,1.2726894840598106,6.348016738891602,0.7990012243390083,0.7349861860275269,8,0,,FLAG,hard:latin_word_n
US-00146,gpt-oss:120b,0,0,8,8,0.8766816143497758,,0.898936170212766,0,0,0,0,,0,0,,0,24,0,0,0,,1.0,0,69.37399009037102,-1.3410814263208608,0.8327427506446838,0.750637412071228,-1.1849427609704437,-5.937905311584473,1.1849427609704437,5.937905311584473,0.8115969076752663,0.696235716342926,8,0,,PASS,
US-00147,gpt-oss:120b,0,0,8,8,0.9977900552486187,,0.9708520179372198,0,0,0,0,,0,0,,0,9,0,0,0,,1.0,0,67.25337947482667,1.1604591261848751,0.7865137085318565,0.7427802085876465,-2.350697249174118,-5.548731803894043,2.350697249174118,5.548731803894043,0.6510262414813042,0.4180563688278198,8,1,G->C,FLAG,hard:option_swap_n
